cuba	4279.3	71.66	4405.89	4139.69
grape	2170.7	53.05	2212.66	2042.04
rails	5302.92	525.37	5661.64	4137.82
hanami-router	3946.57	77.44	4041.49	3819.9
hobbit	3397.58	404.76	3873.59	2627.06
nancy	3329.91	476.62	3791.31	2392.79
rack	6461.76	74.4	6579.27	6339.72
rack-app	3743.88	228.84	3997.51	3286.53
roda	4961.91	249.54	5490.22	4541.09
